idEdge;weight;sourceDFSIndex;targetDFSIndex;source;target;refGraph
1;1;6;7;2;1;1
2;1;1;6;4;2;1
3;1;1;2;4;13;1
4;1;1;3;4;19;1
5;1;3;4;19;27;1
7;1;3;5;19;29;1
8;1;1;9;4;33;1
9;1;6;8;2;43;1
10;1;0;1;45;4;1
11;1;1;4;6;3;2
12;1;1;2;6;16;2
13;1;1;3;6;22;2
14;1;1;5;6;37;2
15;1;0;1;55;6;2
61;1;18;19;7;5;3
62;1;17;18;8;7;3
63;1;16;17;9;8;3
64;1;15;16;10;9;3
65;1;14;15;12;10;3
66;1;1;14;14;12;3
67;1;1;2;14;15;3
68;1;2;3;15;17;3
69;1;3;4;17;18;3
70;1;3;5;17;28;3
71;1;5;6;28;32;3
72;1;6;7;32;35;3
73;1;7;8;35;39;3
74;1;7;9;35;40;3
75;1;6;10;32;59;3
76;1;5;11;28;94;3
77;1;2;12;15;158;3
78;1;1;13;14;225;3
79;1;1;25;14;284;3
80;1;14;24;12;339;3
81;1;15;23;10;394;3
82;1;16;22;9;444;3
83;1;17;21;8;482;3
84;1;18;20;7;515;3
85;1;0;1;544;14;3
29;1;16;22;56;11;4
31;1;17;18;20;21;4
33;1;18;19;21;23;4
35;1;18;20;21;26;4
37;1;17;21;20;38;4
38;1;16;17;56;20;4
41;1;15;16;60;56;4
43;1;14;15;69;60;4
44;1;1;14;82;69;4
45;1;1;2;82;96;4
46;1;2;3;96;107;4
47;1;3;4;107;117;4
48;1;3;5;107;173;4
49;1;5;6;173;179;4
50;1;6;7;179;201;4
51;1;7;8;201;210;4
52;1;7;9;201;215;4
53;1;6;10;179;232;4
54;1;5;11;173;262;4
55;1;2;12;96;297;4
56;1;1;13;82;348;4
57;1;1;25;82;389;4
58;1;14;24;69;432;4
59;1;15;23;60;466;4
60;1;0;1;505;82;4
86;1;12;14;87;48;5
87;1;12;13;87;24;5
88;1;11;12;97;87;5
89;1;1;16;234;100;5
90;1;16;17;100;109;5
91;1;16;18;100;175;5
92;1;1;11;234;97;5
93;1;1;2;234;238;5
94;1;1;3;234;300;5
95;1;3;4;300;321;5
96;1;4;5;321;306;5
97;1;3;6;300;377;5
98;1;6;7;377;393;5
99;1;7;8;393;380;5
100;1;6;9;377;459;5
101;1;9;10;459;445;5
102;1;1;19;234;498;5
103;1;19;20;498;518;5
104;1;19;21;498;554;5
105;1;11;15;97;594;5
106;1;0;1;633;234;5
504;1;20;21;63;25;6
505;1;19;20;64;63;6
506;1;18;19;65;64;6
507;1;1;18;68;65;6
508;1;1;2;68;73;6
509;1;2;3;73;77;6
511;1;3;4;77;80;6
514;1;4;5;80;88;6
516;1;4;6;80;160;6
517;1;3;7;77;222;6
520;1;2;8;73;271;6
522;1;1;9;68;341;6
524;1;9;10;341;344;6
526;1;9;11;341;399;6
528;1;11;12;399;402;6
530;1;12;13;402;405;6
532;1;12;14;402;461;6
534;1;14;15;461;469;6
536;1;14;16;461;521;6
538;1;11;17;399;561;6
540;1;1;27;68;608;6
542;1;27;28;608;614;6
544;1;28;29;614;617;6
546;1;28;30;614;652;6
548;1;30;31;652;655;6
