idNode;index;label;level;mass;type;role;pointCount;contourLength1;contourLength2;subtreeCost;tsvNorm;refGraph
1;7;1;3;1;101;4;11;0;0;1;0;1
2;6;2;2;5;101;2;53;0;0;3;2.82842712474619;1
4;1;3;1;21;104;2;122;0;0;9;8.41622336502528;1
13;2;4;2;1;101;4;51;0;0;1;0;1
19;3;5;2;5;101;2;52;0;0;3;2.82842712474619;1
27;4;6;3;1;101;4;3;0;0;1;0;1
29;5;7;3;1;101;4;8;0;0;1;0;1
33;9;8;2;1;101;4;52;0;0;1;0;1
43;8;9;3;1;101;4;4;0;0;1;0;1
45;0;#;0;31;105;1;0;0;0;10;7.79953945627545;1
3;4;1;2;1;101;4;56;0;0;1;0;2
6;1;2;1;9;104;2;130;0;0;5;4;2
16;2;3;2;1;101;4;56;0;0;1;0;2
22;3;4;2;1;101;4;53;0;0;1;0;2
37;5;5;2;1;101;4;57;0;0;1;0;2
55;0;#;0;15;105;1;0;0;0;6;4.58257569495584;2
5;19;1;7;1;101;4;52;0;0;1;0;3
7;18;2;6;5;101;2;14;0;0;3;2.82842712474619;3
8;17;3;5;11;101;2;21;0;0;5;4.65369253920931;3
9;16;4;4;19;101;2;4;0;0;7;5.52395992228424;3
10;15;5;3;29;101;2;17;0;0;9;5.96652786000311;3
12;14;6;2;41;101;2;10;0;0;11;6.21819283096708;3
14;1;7;1;109;104;2;15;0;0;25;11.271114933558;3
15;2;8;2;41;103;2;12;0;0;11;6.21819283096709;3
17;3;9;3;29;101;2;15;0;0;9;5.96652786000311;3
18;4;10;4;1;101;4;59;0;0;1;0;3
28;5;11;4;19;101;2;6;0;0;7;5.52395992228424;3
32;6;12;5;11;101;2;23;0;0;5;4.65369253920931;3
35;7;13;6;5;101;2;10;0;0;3;2.82842712474619;3
39;8;14;7;1;101;4;5;0;0;1;0;3
40;9;15;7;1;101;4;52;0;0;1;0;3
59;10;16;6;1;101;4;64;0;0;1;0;3
94;11;17;5;1;101;4;85;0;0;1;0;3
158;12;18;3;1;101;4;95;0;0;1;0;3
225;13;19;2;1;101;4;97;0;0;1;0;3
284;25;20;2;1;101;4;97;0;0;1;0;3
339;24;21;3;1;101;4;97;0;0;1;0;3
394;23;22;4;1;101;4;92;0;0;1;0;3
444;22;23;5;1;101;4;64;0;0;1;0;3
482;21;24;6;1;101;4;74;0;0;1;0;3
515;20;25;7;1;101;4;59;0;0;1;0;3
544;0;#;0;135;105;1;0;0;0;26;9.67681318045794;3
11;22;1;5;1;101;4;67;0;0;1;0;4
20;17;2;5;11;101;2;18;0;0;5;4.65369253920931;4
21;18;3;6;5;101;2;15;0;0;3;2.82842712474619;4
23;19;4;7;1;101;4;13;0;0;1;0;4
26;20;5;7;1;101;4;44;0;0;1;0;4
38;21;6;6;1;101;4;56;0;0;1;0;4
56;16;7;4;19;101;2;7;0;0;7;5.52395992228424;4
60;15;8;3;29;101;2;20;0;0;9;5.96652786000311;4
69;14;9;2;41;101;2;17;0;0;11;6.21819283096708;4
82;1;10;1;109;104;2;21;0;0;25;11.271114933558;4
96;2;11;2;41;103;2;16;0;0;11;6.21819283096709;4
107;3;12;3;29;101;2;18;0;0;9;5.96652786000311;4
117;4;13;4;1;101;4;68;0;0;1;0;4
173;5;14;4;19;101;2;6;0;0;7;5.52395992228424;4
179;6;15;5;11;101;2;21;0;0;5;4.65369253920931;4
201;7;16;6;5;101;2;13;0;0;3;2.82842712474619;4
210;8;17;7;1;101;4;6;0;0;1;0;4
215;9;18;7;1;101;4;38;0;0;1;0;4
232;10;19;6;1;101;4;49;0;0;1;0;4
262;11;20;5;1;101;4;64;0;0;1;0;4
297;12;21;3;1;101;4;72;0;0;1;0;4
